loss,grad_norm,learning_rate,entropy,num_tokens,logits/chosen,logits/rejected,mean_token_accuracy,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/chosen,logps/rejected,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_entropy,eval_num_tokens,eval_logits/chosen,eval_logits/rejected,eval_mean_token_accuracy,eval_rewards/chosen,eval_rewards/rejected,eval_rewards/accuracies,eval_rewards/margins,eval_logps/chosen,eval_logps/rejected,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6931473016738892,8.560859680175781,5e-07,1.2526949476450682,11942.0,5.779949579015274,6.131284709381499,0.677670219913125,0.0,0.0,0.0,0.0,-210.71312069892883,-233.7813413143158,0.013333333333333334,1,,,,,,,,,,,,,,,,,,,,
0.6928105354309082,9.722542762756348,4.933333333333333e-07,1.3219135291874409,22937.0,5.205985637425984,5.741594103401486,0.5570772010833025,0.002104592429532204,0.0013774872031717678,0.375,0.0007271051945281215,-286.0109784603119,-257.55662965774536,0.02666666666666667,2,,,,,,,,,,,,,,,,,,,,
0.6921797394752502,10.43451976776123,4.866666666666666e-07,1.241308081895113,33482.0,5.330333540123838,5.8531854845426174,0.6481535583734512,-0.007243084910442121,-0.009217047787387855,0.375,0.001973962760530412,-236.28732478618622,-276.6800101995468,0.04,3,,,,,,,,,,,,,,,,,,,,
0.6945934295654297,5.008697509765625,4.8e-07,1.6944094533100724,42389.0,5.599642908457215,5.675412925013942,0.6271680500358343,-0.008832311887999822,-0.005956387678452302,0.125,-0.0028759241686202586,-233.39184701442719,-173.79864990711212,0.05333333333333334,4,,,,,,,,,,,,,,,,,,,,
0.6880518198013306,9.189530372619629,4.733333333333333e-07,1.2609811648726463,51140.0,5.6870443654893545,5.623674990348021,0.7181147541850805,-0.010959768449538387,-0.021232462124316953,0.6875,0.010272693485603668,-177.6246280670166,-232.57734441757202,0.06666666666666667,5,,,,,,,,,,,,,,,,,,,,
0.6921002864837646,9.077938079833984,4.6666666666666666e-07,1.221714559942484,62007.0,5.689433795695112,5.2074053940821985,0.6610709503293037,-0.013094187015667558,-0.015387964322144398,0.375,0.002293777302838862,-245.6303584575653,-299.9888873100281,0.08,6,,,,,,,,,,,,,,,,,,,,
0.6894618272781372,9.222540855407715,4.6e-07,1.710381742566824,71055.0,5.67693634186118,5.609422854175686,0.652344711124897,-0.01724791552987881,-0.02477681727032177,0.5,0.007528901565819979,-310.0420016050339,-334.7040493488312,0.09333333333333334,7,,,,,,,,,,,,,,,,,,,,
0.690710186958313,8.990731239318848,4.5333333333333326e-07,1.1055425219237804,82743.0,5.966050022249086,5.871282523305082,0.6508554574102163,-0.01866488481118722,-0.02369895028459723,0.3125,0.005034065630752593,-268.2153887748718,-248.37770986557007,0.10666666666666667,8,,,,,,,,,,,,,,,,,,,,
0.6949715614318848,6.677242279052734,4.4666666666666664e-07,1.2180482260882854,92760.0,3.6013043625586905,3.5261116613954573,0.5233126953244209,-0.015706170077464776,-0.012081664946890669,0.125,-0.0036245050141587853,-170.76331162452698,-171.57827305793762,0.12,9,,,,,,,,,,,,,,,,,,,,
0.6883701086044312,5.723816871643066,4.3999999999999997e-07,1.2960808984935284,103639.0,4.578286805623626,5.528910361559491,0.5827330499887466,-0.012048387667164207,-0.021821094138431363,0.25,0.009772706485819072,-185.51848530769348,-221.1493456363678,0.13333333333333333,10,,,,,,,,,,,,,,,,,,,,
0.688683032989502,10.533597946166992,4.3333333333333335e-07,0.9454267304390669,116749.0,6.283393047041359,5.82855026998124,0.7140461280941963,-0.016008878155844286,-0.02509163641525447,0.625,0.009082758048407413,-239.92047262191772,-212.7185955643654,0.14666666666666667,11,,,,,,,,,,,,,,,,,,,,
0.6825238466262817,10.361077308654785,4.266666666666667e-07,1.414948083460331,127112.0,6.055137841702076,5.823269186682402,0.6672982815653086,-0.02041236225340981,-0.042014945778646506,0.625,0.021602583612548187,-283.3280236721039,-249.40953755378723,0.16,12,,,,,,,,,,,,,,,,,,,,
0.6856883764266968,7.954379558563232,4.1999999999999995e-07,1.358969658613205,135952.0,5.7254920091337596,6.225017880823279,0.6525409184396267,-0.025363892840687186,-0.04123411223918083,0.5,0.015870219736825675,-155.20089840888977,-165.0364612340927,0.17333333333333334,13,,,,,,,,,,,,,,,,,,,,
0.6804174184799194,11.22567081451416,4.1333333333333333e-07,1.2768982872366905,148276.0,6.0724541503204525,5.445393658491425,0.6097093857824802,-0.024299586308188736,-0.05027272750157863,0.6875,0.025973140844143927,-300.6946647167206,-294.2085522413254,0.18666666666666668,14,,,,,,,,,,,,,,,,,,,,
0.6851801872253418,6.931941509246826,4.0666666666666666e-07,1.359293844550848,160458.0,5.315216822117721,5.456018408686928,0.6033852975815535,-0.01247917438740842,-0.028639233816647902,0.5,0.01616005937103182,-353.8009113073349,-312.695756316185,0.2,15,,,,,,,,,,,,,,,,,,,,
0.6850661635398865,9.101526260375977,4e-07,1.2472790032625198,171303.0,5.878765679303514,6.248022198460068,0.6692612953484058,-0.04198877263115719,-0.05920724896714091,0.375,0.017218476335983723,-217.31295239925385,-259.74698400497437,0.21333333333333335,16,,,,,,,,,,,,,,,,,,,,
